name,addr_load,addr_lot,rating_score,rating_num
포비 합정점,서울 마포구 양화로3길 66 1층,(지번) 합정동 426-18,3.7,205건
앤트러사이트 서교점,서울 마포구 월드컵로12길 11,(지번) 서교동 475-22,3.6,292건
당인리책발전소,"서울 마포구 월드컵로14길 10-8 지하층 ,1층",(지번) 서교동 475-26,3.8,106건
어반플랜트 합정,서울 마포구 독막로4길 3 1~3층,(지번) 합정동 363-28,4.2,365건
943킹스크로스,"서울 마포구 양화로16길 24 지하1층, 1~4층",(지번) 서교동 369-1,4.1,400건
레드플랜트,서울 마포구 양화로7길 6,(지번) 서교동 392-15,4.2,63건
빌리프커피로스터스,"서울 마포구 양화로11길 50 해동빌딩 지하1층,1층",(지번) 서교동 384-3,3.5,147건
빈브라더스 합정,서울 마포구 토정로 35-1,(지번) 합정동 368-3,4.3,183건
카페미뇽,서울 마포구 양화로6길 35,(지번) 서교동 394-16,3.3,77건
멜로우,서울 마포구 잔다리로 30-11 1층,(지번) 서교동 368-7,4,24건
피오니 홍대점,서울 마포구 독막로7길 51 1층,(지번) 서교동 395-78,3.8,317건
앤트러사이트 합정점,서울 마포구 토정로5길 10,(지번) 합정동 357-6,3.6,198건
피피커피,서울 마포구 동교로 23 1층,(지번) 망원동 394-75,4.6,78건
터틀힙,서울 마포구 연남로1길 44 1층,(지번) 연남동 565-19,4.2,84건
디벙크,서울 마포구 성지1길 30 더보이드빌딩 지하1층,(지번) 합정동 366-1,4,130건
집사의하루 홍대점,서울 마포구 와우산로21길 19-8 태경빌딩 2층,(지번) 서교동 364-2,4.2,140건
포도앤커피,서울 마포구 포은로 20 1층,(지번) 합정동 394-15,4.9,7건
밤부베이커리&브루잉,서울 마포구 월드컵로5길 33-23,(지번) 합정동 386-11,3.5,83건
커피탐이나,서울 마포구 잔다리로3안길 31,(지번) 서교동 395-128,3.7,7건
ㅎㄷ카페,서울 마포구 어울마당로 68 3-9층,(지번) 서교동 363-17,3.5,15건
메이크베러띵스,서울 마포구 월드컵로17길 37 망리단88 1층,(지번) 망원동 57-88,4.9,28건
투썸플레이스 합정메세나폴리스점,서울 마포구 양화로 45 지하1층 B166호,(지번) 서교동 490,2.9,21건
델문도,서울 마포구 잔다리로 19-6 2층,(지번) 서교동 405-15,2.8,71건
비트포비아 홍대던전점,서울 마포구 독막로3길 30 지하2층,(지번) 서교동 396-46,3.5,31건
스타벅스 서교동사거리점,서울 마포구 양화로 105 동원빌딩 1층,(지번) 서교동 374-20,4.7,36건
판타지트,서울 마포구 월드컵로10길 39 1층,(지번) 서교동 477-4,5,2건
큐브이스케이프 홍대점,서울 마포구 양화로16길 15 무광빌딩 4층,(지번) 서교동 355-17,2.6,41건
새검정,서울 마포구 독막로2길 17 1층,(지번) 합정동 366-3,3.7,74건
그레이랩,서울 마포구 토정로3길 16 1층,(지번) 합정동 367-9,4,81건
카페그랑주,서울 마포구 홍익로5길 13 동신빌딩 지하1층,(지번) 서교동 355-2,2.7,48건
카페쿠키드,서울 마포구 어울마당로5길 25 1층,(지번) 서교동 400-2,4.6,10건
다다랩,서울 마포구 월드컵로15길 17 지하,(지번) 망원동 376-9,4.4,87건
스타벅스 합정폴리스R점,서울 마포구 양화로 45 메세나폴리스 지하1층 B189-B193호,(지번) 서교동 490,4.4,25건
카페꼼마 합정점,"서울 마포구 포은로 49 지하1층,1,2,4,5층",(지번) 합정동 441-35,3.9,145건
마핑파,서울 마포구 포은로 74 2층,(지번) 망원동 401-34,4.1,41건
스타벅스 합정메세나몰점,서울 마포구 양화로 45 메세나폴리스 지하1층 B161-B164호,(지번) 서교동 490,4.2,38건
공상온도,서울 마포구 동교로23길 40 지하 1층,(지번) 동교동 203-11,4,85건
딥블루레이크,서울 마포구 포은로6길 11,(지번) 망원동 411-12,4,221건
리밀앤밀리,서울 마포구 동교로22길 21 1층,(지번) 서교동 375-45,4.4,56건
저스티나,서울 마포구 양화진2길 31 1층,(지번) 합정동 379-4,3.9,73건
비캔드,서울 마포구 포은로 71-12,(지번) 망원동 395-11,4,36건
콜린,"서울 마포구 어울마당로 45 1,2층",(지번) 서교동 403-13,3.9,120건
스타벅스 망원역점,"서울 마포구 월드컵로 74 원천빌딩 1,2층",(지번) 서교동 475-13,3.9,68건
키이스케이프 홍대점,서울 마포구 어울마당로 44-1 지하1층,(지번) 서교동 408-27,3.2,26건
로우머,서울 마포구 월드컵로13길 55-26 1층,(지번) 망원동 57-179,4,78건
비밀의화원 미드나잇점,서울 마포구 독막로7길 27 3층,(지번) 서교동 400-3,4.7,7건
커피하우스마이샤,서울 마포구 포은로 52 1층,(지번) 합정동 433-61,4.9,114건
금옥당 서교점,서울 마포구 어울마당로 39 1층,(지번) 서교동 402-18,3.8,47건
퀜치커피,서울 마포구 동교로12안길 9 1층,(지번) 서교동 480-12,4.5,193건
투썸플레이스 합정역점,서울 마포구 독막로 5,(지번) 합정동 414-3,2.3,79건
셉트,서울 마포구 양화로11길 41 1층,(지번) 서교동 386-3,4.4,36건
오퍼,서울 마포구 홍익로5길 19,(지번) 서교동 355-3,3.7,40건
광합성카페,서울 마포구 월드컵로19길 8 1층,(지번) 망원동 57-36,4.1,76건
스타벅스 합정점,서울 마포구 월드컵로1길 14 딜라이트스퀘어1차 1층 110~112-2호,(지번) 합정동 472,3.6,33건
씨네마포,서울 마포구 독막로9길 3-3 1층,(지번) 서교동 401-14,4.8,49건
허밍벨라,서울 마포구 독막로7길 57 1-2층,(지번) 서교동 395-199,3.5,57건
아날로그가든,서울 마포구 동교로 145,(지번) 서교동 446-58,4,81건
달콤한거짓말,서울 마포구 독막로 61-4,(지번) 상수동 317-11,4.2,122건
테라로사 홍대서교점,서울 마포구 월드컵북로5길 41 누디트 홍대 1층,(지번) 서교동 460-25,4.5,22건
퍼셉션 (Perception),서울 마포구 어울마당로1길 16 1층,(지번) 합정동 355-2,,
더블유오앤,"서울 마포구 잔다리로6길 20-9 로이스퀘어 지하1층,1층",(지번) 서교동 366-7,3.1,29건
안녕낯선사람,서울 마포구 어울마당로5길 40 1층,(지번) 서교동 398-9,4.5,54건
604,서울 마포구 동교로 49 정하빌딩 1층,(지번) 망원동 338-78,4.6,71건
모멘트커피,서울 마포구 월드컵북로4길 29 1층,(지번) 동교동 203-30,3.3,67건
카페공명 홍대점,"서울 마포구 와우산로17길 11-8 1, 2, 3층",(지번) 서교동 409-15,4.5,194건
할리스 합정역점,서울 마포구 양화로 36 1층,(지번) 합정동 374-1,2.4,84건
로스팅마스터즈 본점,서울 마포구 동교로 129 형진빌딩 1층,(지번) 서교동 461-1,4.4,30건
키오스크,서울 마포구 월드컵로19길 74 어쩌다가게 2층 204호,(지번) 망원동 57-194,4.3,118건
라뽀즈,서울 마포구 양화로6길 60 1층,(지번) 합정동 412-2,4.2,66건
커넥츠커피,서울 마포구 성지길 60 1층,(지번) 합정동 376-19,4.4,66건
몽카페그레고리,"서울 마포구 양화로6길 84 2, 3층",(지번) 합정동 410-11,3.5,75건
무대륙,서울 마포구 토정로5길 12,(지번) 합정동 357-7,3.7,112건
시루케이크,서울 마포구 어울마당로1길 18 1층,(지번) 합정동 355-8,4.3,103건
머씨커피,"서울 마포구 양화로8길 32-10 1,2층",(지번) 서교동 394-51,4.2,48건
먼로,서울 마포구 양화로6길 57 3층,(지번) 서교동 396-36,5,6건
민트하임,서울 마포구 잔다리로6길 28 1층,(지번) 서교동 366-28,3.7,57건
겨울이머무는집,서울 마포구 와우산로17길 19-5 1층,(지번) 서교동 409-18,3.1,78건
커피가게동경,서울 마포구 망원로6길 21 지하층,(지번) 망원동 410-1,3.9,184건
콘크리트엔젤,서울 마포구 월드컵로3길 14 딜라이트스퀘어2차 1층,(지번) 합정동 473,3,15건
대충유원지,서울 마포구 월드컵북로6길 37 1층,(지번) 연남동 570-28,4.1,80건
이고 수플레 합정본점,서울 마포구 양화로8길 32-17 1층,(지번) 서교동 394-77,4,28건
하얀공간 합정,서울 마포구 성지길 40 나동 1-2층,(지번) 합정동 376-34,,
카페공명 합정점(서울작업실),서울 마포구 잔다리로 99-2 1층,(지번) 서교동 468-25,4.8,93건
루아르커피바 망원,"서울 마포구 월드컵로11길 7 1,2층",(지번) 망원동 386-1,4.1,37건
서울이스케이프룸 홍대2호점,서울 마포구 와우산로17길 11 코스모스빌딩 3층,(지번) 서교동 410-9,3.2,17건
카페 사운드웨이브,서울 마포구 독막로3길 24 3층,(지번) 서교동 396-29,4.3,4건
모아새,서울 마포구 포은로 71 1층,(지번) 망원동 395-17,3.5,98건
라운지 클라리멘토,"서울 마포구 잔다리로7안길 18 두비스빌딩 1층, 지하1층",(지번) 서교동 379-9,4.7,24건
블러,서울 마포구 토정로 28-10 4층,(지번) 합정동 198-26,4.1,70건
옆구르기,서울 마포구 포은로2길 13 브랜토리움 1층,(지번) 합정동 434-22,4.8,19건
공차 합정교보문고점,서울 마포구 월드컵로3길 14 딜라이트스퀘어2차 지하1층 137호,(지번) 합정동 473,4,12건
덤앤더머 홍대점,서울 마포구 독막로7길 48 5층,(지번) 서교동 404-5,4.7,229건
주디마리 홍대점,서울 마포구 홍익로5안길 63 1층,(지번) 서교동 369-29,4.2,30건
비트포비아 던전101,서울 마포구 와우산로 74 2층,(지번) 서교동 361-16,4.2,36건
컴포즈커피 합정점,서울 마포구 양화로6길 14 1층,(지번) 합정동 414-16,2.8,19건
카페밤비 2호점,서울 마포구 월드컵로21길 18 가동 1층,(지번) 망원동 57-498,4.8,9건
티프 합정,서울 마포구 양화로11길 64 1층 티프 합정,(지번) 서교동 384-15,4.5,13건
이미커피,서울 마포구 동교로25길 7 1층,(지번) 동교동 201-10,4.2,148건
논스케일드,서울 마포구 월드컵로 51 1층,(지번) 합정동 427-4,4.9,8건
파사도 망원,서울 마포구 포은로6길 9 파사도,(지번) 망원동 411-18,3.4,34건
카페소공원,서울 마포구 어울마당로5길 52,(지번) 서교동 397-8,5,6건
해피베어데이 합정점,서울 마포구 양화로12길 16-6 1층,(지번) 서교동 395-141,3.3,56건
비바살롱,서울 마포구 포은로 84 1층,(지번) 망원동 400-8,4.2,26건
메가MGC커피 합정역점,서울 마포구 양화로 46-1 1층,(지번) 합정동 414-6,2.9,32건
깊이,서울 마포구 양화로11길 60 1층,(지번) 서교동 384-14,4.3,19건
비하인드,서울 마포구 어울마당로5길 18 1층,(지번) 서교동 404-26,4.3,61건
폴바셋 교보문고합정점,서울 마포구 월드컵로1길 14 딜라이트스퀘어1차 지하2층,(지번) 합정동 472,4.7,40건
메가MGC커피 망원망리단길점,서울 마포구 동교로 39 1층,(지번) 망원동 338-79,2.6,9건
오브오,서울 마포구 양화로7안길 42 1층,(지번) 서교동 380-33,5,1건
미스터리룸이스케이프 홍대2호점,서울 마포구 독막로7길 41 2층,(지번) 서교동 398-1,4.4,21건
퍼즐팩토리 2호점,서울 마포구 잔다리로2길 17 3층,(지번) 서교동 366-25,3.8,6건
스타벅스 홍대입구역사거리R점,서울 마포구 양화로 125 경남관광빌딩 1층,(지번) 서교동 353-5,4,87건
이리카페,서울 마포구 와우산로3길 27 1층,(지번) 상수동 337-4,4,81건
숲길 holzwege,서울 마포구 동교로13길 14 대양빌딩 1층,(지번) 서교동 477-5,5,5건
오베이글하우스,서울 마포구 월드컵로7길 41,(지번) 합정동 431-21,4.7,20건
대루커피,서울 마포구 동교로 70 소와소빌딩 1층,(지번) 합정동 428-4,4.5,56건
다스이스트프로밧,서울 마포구 독막로8길 16,(지번) 합정동 362-3,4.4,36건
땡스네이쳐,서울 마포구 홍익로 10 푸르지오상가 지하1층 121호,(지번) 서교동 486,4.2,96건
산리오러버스클럽,"서울 마포구 와우산로19길 18 가동 1,2층",(지번) 서교동 364-14,3.9,79건
심신프리 홍대점,서울 마포구 어울마당로 98-1,(지번) 서교동 358-9,4.2,21건
투니크 유니버스점,서울 마포구 양화로 78-17,(지번) 서교동 395-157,2.5,14건
언제라도여행,서울 마포구 잔다리로 65 2층,(지번) 서교동 377-2,5,3건
스타벅스 동교점,서울 마포구 월드컵북로 22 영준빌딩 1층,(지번) 동교동 205-6,4.1,39건
은코시커피하우스,서울 마포구 동교로12길 36 1층 101호,(지번) 서교동 383-2,4.8,36건
스탠스커피,서울 마포구 와우산로11길 9 1층 101호,(지번) 상수동 93-111,4.1,90건
카페보니,서울 마포구 독막로4길 7,(지번) 합정동 363-29,3.3,9건
콘드,서울 마포구 월드컵로3길 32 2층,(지번) 합정동 386-33,4.3,33건
이스케이퍼스 2호점,서울 마포구 와우산로17길 19-24 지하1층,(지번) 서교동 408-18,3.1,10건
투썸플레이스 망원역점,서울 마포구 월드컵로 62 한림빌딩 1층,(지번) 서교동 476-21,2.6,31건
재미난조각가,서울 마포구 와우산로21길 24 2층,(지번) 서교동 358-124,3,33건
콤파일,"서울 마포구 잔다리로 73 1F, COMPILE",(지번) 서교동 466-8,4.1,43건
브레이크아웃이스케이프 홍대점,서울 마포구 와우산로 102 3층,(지번) 서교동 338-48,4.1,26건
카페카카,서울 마포구 망원로 54-1 1층,(지번) 망원동 416-2,4.2,78건
카펫,서울 마포구 동교로9길 72 1-2층,(지번) 망원동 57-12,3.7,61건
브루클린,서울 마포구 양화로12길 16 더난빌딩 1층,(지번) 서교동 395-137,3.6,12건
1984,서울 마포구 동교로 194 혜원빌딩 1층,(지번) 동교동 158-24,3.3,104건
더페이머스램,서울 마포구 월드컵로14길 13,(지번) 서교동 442-28,4.9,37건
라뚜셩트베이커리,"서울 마포구 포은로8길 20 1,2층",(지번) 망원동 411-8,3.6,48건
필담,서울 마포구 동교로 55 2층,(지번) 망원동 384-45,4.1,14건
합정티라미수,서울 마포구 양화로3길 55 어반오아시스 지하1층,(지번) 합정동 386-37,3.4,18건
평형,서울 마포구 포은로5길 6 상가 1층,(지번) 망원동 410-31,4.8,33건
페이브먼트,서울 마포구 월드컵로15길 86 1층,(지번) 망원동 338-51,4.4,21건
스타벅스 합정푸르지오점,서울 마포구 월드컵로3길 14 딜라이트스퀘어2차 2층,(지번) 합정동 473,3.8,13건
로스팅마스터즈 합정점,서울 마포구 양화로7길 53 1층 101호,(지번) 서교동 382-16,4.6,19건
아이덴티티커피랩,서울 마포구 동교로 139 1층,(지번) 서교동 461-17,4.4,59건
반지캠퍼스카페,서울 마포구 어울마당로 112-6,(지번) 서교동 345-16,5,6건
만유인력 커피,서울 마포구 성지길 51 1층,(지번) 합정동 369-14,4.3,50건
달리,서울 마포구 양화로6길 86 2층,(지번) 합정동 410-10,4.3,14건
오디티,서울 마포구 양화로6길 21 3층,(지번) 서교동 394-20,,
더세임,서울 마포구 희우정로1길 6-3 1-2층,(지번) 합정동 398-21,4.5,13건
로파이,서울 마포구 와우산로15길 16 신한빌딩 1층,(지번) 서교동 410-5,4.3,20건
공차 홍대서교점,서울 마포구 어울마당로 49 1층,(지번) 서교동 403-14,4,11건
퍼스트펭귄카페,서울 마포구 잔다리로 47,(지번) 서교동 373-3,4.8,17건
카페트래블어라운드,서울 마포구 양화로8길 9 우리빌딩 1층,(지번) 서교동 395-48,3,2건
고슴도치 티라미수,서울 마포구 희우정로5길 29 1층 102호,(지번) 합정동 457-3,4.5,13건
브라운핸즈 창비,서울 마포구 월드컵로12길 7 1층,(지번) 서교동 475-34,4.2,22건
커퍼시티,서울 마포구 동교로 48 1층,(지번) 합정동 433-10,4.2,644건
딥띵커,서울 마포구 잔다리로 23 4층,(지번) 서교동 395-17,5,7건
반지만들기공방 홍대반지카페,서울 마포구 잔다리로6길 40-6 3층,(지번) 서교동 366-13,,
르메드,서울 마포구 포은로 46 1층,(지번) 합정동 434-4,,
합정 지튼,서울 마포구 양화로11길 42 1층,(지번) 서교동 385-16,,
카페 클로버,서울 마포구 양화로8길 38 서교동빌딩 2층,(지번) 서교동 394-12,0,0건
카페 지금여기,서울 마포구 양화로16길 30-5 3층,(지번) 서교동 369-42,4,19건
퍼즐팩토리 홍대본점,서울 마포구 와우산로21길 34 3층,(지번) 서교동 358-46,4,9건
빽다방 합정역점,서울 마포구 월드컵로1길 14 마포한강푸르지오 지하1층 112-1호,(지번) 합정동 472,3.5,15건
제비다방,"서울 마포구 와우산로 24 지하1층, 1층",(지번) 상수동 330-12,4.5,118건
엑스이스케이프 홍대놀이터점,서울 마포구 와우산로21길 20-5 홍대프라자 3층,(지번) 서교동 358-123,,
월페이퍼,서울 마포구 잔다리로 75 1층 101호,(지번) 서교동 466-7,5,5건
삼다코지,서울 마포구 독막로9길 34 1층,(지번) 서교동 403-5,3.5,44건
더귀여워,서울 마포구 어울마당로 44-1 라꼼마빌딩 2층,(지번) 서교동 408-27,,
버터크림팩토리,서울 마포구 망원로11길 41 1층 102호,(지번) 망원동 479-6,4.8,33건
메가MGC커피 망원역점,서울 마포구 동교로9길 49 1층,(지번) 망원동 376-7,,
세라젬웰카페 서울합정메세나폴리스직영점,서울 마포구 양화로 45 메세나폴리스 지하1층 B1125호,(지번) 서교동 490,4.8,59건
써니데이 인 잔다리,서울 마포구 잔다리로 88 원방빌딩 1층,(지번) 서교동 459-13,4.1,12건
얼반스퀘어,서울 마포구 독막로8길 15 1층,(지번) 합정동 355-24,4,23건
아지트로스터스,서울 마포구 잔다리로 99 1층,(지번) 서교동 468-31,4.1,10건
베이크샵하벳,서울 마포구 월드컵로17길 64 2층,(지번) 망원동 57-108,,
자유인들,"서울 마포구 와우산로22길 34 1,2층",(지번) 서교동 360-27,4.6,25건
하츠코히,서울 마포구 성미산로1길 32 1층,(지번) 성산동 254-30,3.5,19건
닷큐먼트,서울 마포구 양화로8길 16-9 1층,(지번) 서교동 394-82,4.8,15건
비일구일구 서울,서울 마포구 양화로 45 메세나폴리스 1층 B1919Seoul,(지번) 서교동 490,3.8,12건
빽다방 망원시장점,서울 마포구 월드컵로13길 34 1층,(지번) 망원동 375-8,2.7,15건
파스텔커피웍스 본점,서울 마포구 성지길 58 노박빌딩 1층,(지번) 합정동 376-9,4,63건
멧커피 홍대점,서울 마포구 어울마당로5길 42 2층,(지번) 서교동 398-5,3.9,39건
하우스오브바이닐 망원점,서울 마포구 희우정로16길 23,(지번) 망원동 405-17,3.9,17건
모을,서울 마포구 월드컵로19길 71 3층,(지번) 망원동 57-278,4.4,61건
말통커피앤베이글,서울 마포구 양화로 56 동양한강트레벨 지하 103-3호,(지번) 서교동 394-25,4,13건
디저트39 합정역점,"서울 마포구 독막로 23-4 1,2층",(지번) 합정동 413-13,3,3건
연과점하루,서울 마포구 동교로16길 12 1층,(지번) 서교동 482-44,5,7건
엠북카페,서울 마포구 잔다리로 62-1 미래의창빌딩 1층,(지번) 서교동 376-15,5,5건
스몰커피바,서울 마포구 포은로 64 1층,(지번) 망원동 338-76,4.2,48건
페이즈커피,서울 마포구 동교로15길 30 1층,(지번) 서교동 468-22,4.3,4건
히트커피로스터스 서교점,서울 마포구 동교로 146 1층,(지번) 서교동 463-2,4.4,103건
실루엣커피,서울 마포구 독막로8길 33-5 1층,(지번) 합정동 358-21,,
카페레터,서울 마포구 독막로3길 28-20 1층,(지번) 서교동 396-3,3.9,14건
싸인이스케이프 홍대점,서울 마포구 와우산로 65 6층,(지번) 서교동 407-2,4.4,9건
heod 합정,서울 마포구 독막로8길 30 태양빌딩 1층,(지번) 합정동 360-17,,
도카,서울 마포구 월드컵로14길 33 엘림하우스 1층,(지번) 서교동 473-8,4.4,12건
콜트 커피바,서울 마포구 동교로 33-3 지하1층,(지번) 망원동 394-101,4.9,15건
Dessert Merlion,서울 마포구 와우산로27길 75 2층,(지번) 서교동 346-20,4.5,61건
위밋데얼,서울 마포구 양화로16길 30 한나빌딩 3층,(지번) 서교동 369-36,3.8,9건
나인나인,서울 마포구 양화로16길 14-16 엘케이빌딩 1층,(지번) 서교동 370-12,4.1,7건
컴포즈커피 망원시장점,서울 마포구 망원로8길 53 1층 102호,(지번) 망원동 401-12,3.4,5건
딥커피,서울 마포구 동교로 209 1층,(지번) 동교동 199-2,3.3,58건
필리커피,"서울 마포구 망원동 517 마포영화블렌하임 상가 1층 121,122호",,4.1,24건
로스터제임스커피랩,서울 마포구 월드컵로15길 23 호호빌딩 1층,(지번) 망원동 376-14,4.2,31건
카페비비드,서울 마포구 독막로3길 28-18,(지번) 서교동 396-10,4.3,8건
미어캣프랜즈,서울 마포구 와우산로21길 20 2층,(지번) 서교동 358-37,2.4,61건
하이럽,서울 마포구 독막로7길 42 2층,(지번) 서교동 404-19,4.5,2건
핏크,서울 마포구 성미산로11길 13,(지번) 성산동 208-13,3.1,30건
굿애프터눈 합정점,서울 마포구 월드컵로3길 14 딜라이트스퀘어2차 1층 120호,(지번) 합정동 473,4.3,9건
레이지독케이크,서울 마포구 포은로8길 28-6 계단올라와서 1층,(지번) 망원동 414-25,4.7,7건
당고집,서울 마포구 어울마당로3길 5 1층,(지번) 합정동 356-9,3.5,107건
모리츠플라츠,서울 마포구 토정로5길 22 1층,(지번) 합정동 357-25,4.2,65건
모에모에큥 메이드카페,서울 마포구 독막로6길 16 2층,(지번) 합정동 361-28,3.6,12건
구황작물,서울 마포구 동교로 27-8 1층 101호,(지번) 망원동 394-109,4.2,33건
카페오월일일,서울 마포구 월드컵로14길 28 1층,(지번) 서교동 475-1,3.6,8건
카페폴리,서울 마포구 포은로 14 수성빌딩 2층 201호,(지번) 합정동 393-18,2.7,11건
오리가미클럽,서울 마포구 포은로 27 2층,(지번) 합정동 395-1,4.3,32건
카페버퍼링,서울 마포구 독막로9길 42 4층,(지번) 서교동 403-2,4.1,7건
으믐,서울 마포구 성미산로 29 1층,(지번) 성산동 245-15,4.5,37건
다밍,서울 마포구 어울마당로5길 42-5 2층,(지번) 서교동 397-2,5,1건
카페엠,서울 마포구 포은로6길 27 1층,(지번) 망원동 414-109,4.6,20건
슬릿,서울 마포구 와우산로21길 21-12 서교동H씨빌딩 1층 1호,(지번) 서교동 364-29,4.5,27건
카페톤,서울 마포구 성미산로1길 26 1층,(지번) 성산동 254-18,4.7,79건
빈브라더스 커피하우스 서울,서울 마포구 토정로9길 2 6-7층,(지번) 상수동 354-12,4.2,65건
바나프레소 합정역점,서울 마포구 양화로 72 효성해링턴타워 1층 107호,(지번) 서교동 494,4,16건
파티스리 까이에,서울 마포구 월드컵로3길 14 딜라이트스퀘어2차 1층 105호,(지번) 합정동 473,4.6,19건
올웨이즈어거스트,서울 마포구 망원로6길 19,(지번) 망원동 415-53,4.5,140건
아브르드팡(Arbre de pain),서울 마포구 월드컵로21길 14 1층,(지번) 망원동 57-371,3.7,6건
커스텀커피 합정점,서울 마포구 월드컵로8길 40 1층,(지번) 서교동 381-9,4.2,41건
언더지,서울 마포구 포은로 72 나무간판 입구 지하1층,(지번) 망원동 413-38,4.5,6건
포트레이트 커피바,서울 마포구 포은로8길 32 1층,(지번) 망원동 414-27,4.4,99건
복숭아꽃,서울 마포구 양화로6길 99-5,(지번) 서교동 402-7,4.4,13건
메가MGC커피 망원시장점,서울 마포구 망원로 79 1층,(지번) 망원동 423-15,3.3,6건
마스터키 홍대상수점,서울 마포구 독막로 65-1 상수동오피스텔 지하1층,(지번) 상수동 317-5,3.4,13건
카페홈즈 합정역점,서울 마포구 양화로 69 1층,(지번) 서교동 392-16,4.2,5건
데코아발림,서울 마포구 독막로15길 13-6 1층,(지번) 상수동 311-4,4.4,89건
카페아벨롭,서울 마포구 양화로15안길 6,(지번) 서교동 375-2,,
로우프,서울 마포구 포은로 14,(지번) 합정동 393-25,4.3,3건
트래블카페샬레,서울 마포구 어울마당로5길 26 1층,(지번) 서교동 398-11,4.8,14건
채비스테이 홍대점 카페20BOON,서울 마포구 양화로 85 1층,(지번) 서교동 378-8,5,1건
카페공명 연남점,서울 마포구 연희로 11 한국특허정보원빌딩 1층,(지번) 동교동 146-8,4.2,322건
벤티프레소 합정역점,서울 마포구 양화로 81 H스퀘어 1층 101호,(지번) 서교동 378-10,5,1건
충당,서울 마포구 월드컵로3길 31-8 2층,(지번) 합정동 388-10,4.7,10건
마로스쿠키,서울 마포구 토정로 34 펠리스아트빌 1층 101호,(지번) 합정동 200-1,4.3,39건
콤포타블 서교,서울 마포구 동교로 109-7 2층,(지번) 서교동 478-19,4.8,27건
